¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ (431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.192509
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.715671
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.980195
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.26754
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.580733
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.923375
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.299756
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.714313
¢(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.167685
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.678795
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2521
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.89531
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.61951
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.42116
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.34375
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.41671
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.67987
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.16247
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.83804
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.75268
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.08812
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.70294
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.966384
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.252508
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.564311
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.905368
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.279927
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.692216
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.143147
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.651161
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.22097
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.86024
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.58062
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.37661
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.29223
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.35646
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.60847
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.08011
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.74115
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.63711
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.94496
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.690149
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.952508
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.237407
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.547819
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.887287
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.260022
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.670065
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.118559
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.623449
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.18977
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.82511
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.54175
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.33211
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.24079
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.29634
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.53729
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.99624
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.64497
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.52262
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.8033
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.677301
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.938571
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.222244
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.531261
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.86914
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.240048
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.64786
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.093917
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.59567
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.15851
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.78992
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.50291
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.28766
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.18944
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.23635
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.46632
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.91211
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.54949
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.40919
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.66314
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.664394
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.924578
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.207019
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.514641
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.850926
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.220005
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.62561
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.069235
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.567822
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.12719
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.75468
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.4641
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.24327
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.13818
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.17653
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.39559
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.82842
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.45472
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.29686
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.5245
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.651436
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.910528
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.191736
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.497962
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.832651
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.199901
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.603317
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.044511
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.539923
Ÿ(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.09583
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.71941
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.42533
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.19895
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.08704
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.11687
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.3251
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.74518
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.36065
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.1856
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.38736
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.638429
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.896426
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.176401
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.481228
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.814324
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.17974
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.580989
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.019754
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.51197
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.06444
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.68411
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.38661
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.15471
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.03602
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.05738
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.25488
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.66239
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.26714
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.07543
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.25171
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.91568
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.625373
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.882276
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.161016
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.464444
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.795941
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.159525
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.55863
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.994967
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.483976
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.03301
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.64878
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.34796
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.11056
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.98512
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.99808
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.18493
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.58008
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.17173
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.96633
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 22.11756
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.75902
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.612274
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.868081
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.145585
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.44761
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.777509
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.139264
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.536242
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.97016
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.455942
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.00155
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.61344
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.30882
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.0665
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.93436
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.93898
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.11526
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.49824
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.07703
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.85833
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.9849
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.60042
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.599134
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.853843
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.13011
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.430733
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.759035
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.118959
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.513833
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.945333
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.427878
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.970083
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.5781
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.26859
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.02255
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.88375
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.88009
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.04589
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.41689
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.98304
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.7514
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.85373
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.43866
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.585953
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.839565
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.114595
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.413815
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.740522
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.098614
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.491405
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.920495
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.399787
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.938601
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.54275
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.22838
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.97871
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.83329
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.82141
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.97682
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.33604
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.88978
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.64556
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.72403
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.27936
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.572737
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.825251
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.099041
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.396861
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.721971
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.078234
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.468962
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.895647
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.371677
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.907117
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.50741
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18819
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.93498
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.783
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.76296
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.90806
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.2557
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.79725
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.54031
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.5958
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.559489
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.810903
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.083457
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.379875
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.703388
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.057824
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.446515
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.8708
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.343557
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.875638
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.4721
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.14805
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.89138
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.73287
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.70475
(431.85, 14.35, 327.61) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.83964
