¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(432.58, 14.49, 325.66) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 13.47608
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12556
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.05923
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.41031
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.4377
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.46783
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.50074
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.53645
(432.76, 14.57, 323.68) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 19.67245
(432.76, 14.57, 323.68) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 19.70373
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.02205
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 23.00247
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.9874
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.97682
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.97073
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.96912
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.97199
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.97934
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.349997
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.615246
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.354383
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.690096
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.059622
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.468143
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.922136
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.418947
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.975185
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60348
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.3186
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12135
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04901
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.21556
ß(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.24172
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.27058
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.30217
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.42502
(432.76, 14.57, 323.68) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 19.73916
(432.76, 14.57, 323.68) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 19.77074
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.18339
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.1645
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.14995
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.13974
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.13385
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.13227
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.13502
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 22.14207
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.348658
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.044084
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.350029
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.685337
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.054349
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.462323
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.915653
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.418175
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.974324
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60252
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31748
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12301
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.00639
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.02877
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.05378
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.08144
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.11177
(432.76, 14.57, 323.68) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 19.78218
(432.76, 14.57, 323.68) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 19.81013
(432.76, 14.57, 323.68) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 19.84202
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.40771
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.38946
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.3754
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.36553
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.35982
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.35828
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.36091
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 21.3677
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.347273
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.04007
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.345659
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.680536
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.049042
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.456428
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.909094
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.414884
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.973447
à(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60148
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31629
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12467
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.02999
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.06349
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.03075
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.00071
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 12.97333
(432.76, 14.57, 323.68) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 19.85715
(432.76, 14.57, 323.68) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 19.88541
(432.76, 14.57, 323.68) (428.14, 7.20, 289.14) (1.39, 0.85, 0.64) Fence 19.91764
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.68835
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.67069
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.65709
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.64753
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.642
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.64049
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.64301
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.64956
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.756449
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.036017
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.341203
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.675665
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.043685
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.450497
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.902482
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.407473
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.972481
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.6004
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31506
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12643
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03197
(432.76, 14.57, 323.68) (430.65, 7.28, 295.18) (0.94, 0.85, 1.43) Fence 13.24414
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15366
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38083
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.69302
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.09455
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 20.06557
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.73637
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 16.11196
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.5354
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.37297
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.74781
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.97461
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.97314
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.97556
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.98188
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.752705
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.031911
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.336741
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.67075
İ(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.038264
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.444515
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.895803
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.400006
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.971502
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59928
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31376
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12817
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03404
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.09144
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.02943
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.95873
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.40632
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.2272
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.13081
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.10461
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.12887
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.20305
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.3519
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.68701
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.35268
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.35124
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.35358
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.35968
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.748918
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.027803
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.332233
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.665788
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.032803
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.438456
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.88908
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.394201
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.970445
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59809
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31244
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12997
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.0361
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.0104
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.90806
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.92277
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.452
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.25681
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.15384
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.1233
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.13808
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.2014
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.33371
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.62949
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.89196
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.88632
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.88437
Ù(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 18.8861
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.747198
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.023664
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.327704
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.660829
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.0273
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.432329
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.882287
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.391056
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.967042
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59688
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.31101
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.13094
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.03823
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89563
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77718
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.78726
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.50641
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.28964
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.18628
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.145
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.1502
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.2026
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.33047
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.57522
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.01776
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.01206
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.01007
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.01179
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.746696
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.021327
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.323123
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.655807
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.021752
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.42621
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.876724
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.387784
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.963336
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59561
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30956
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12925
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.04039
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78348
(432.76, 14.57, 323.68) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 12.76518
(432.76, 14.57, 323.68) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 12.69611
(432.76, 14.57, 323.68) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 12.70765
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.33885
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.22195
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.16974
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.16524
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.2119
ã(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.33461
(432.76, 14.57, 323.68) (427.85, 8.02, 293.40) (3.24, 2.43, 2.91) Tools 15.55806
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.14901
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.14325
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.14121
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.14292
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.746173
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.02078
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.320149
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.650732
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.016171
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.420018
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.873731
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.384398
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.959522
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59424
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.30804
(432.76, 14.57, 323.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.12747
(432.76, 14.57, 323.68) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 12.68727
(432.76, 14.57, 323.68) (429.26, 7.40, 296.44) (1.53, 1.04, 0.98) Fence 12.69139
